Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Trea Turner,PHI,SS,29,23,99,16,29,4,2,2,7,4,0,7,25,0,0,0,0.293,0.34,0.434,0.774
Bryson Stott,PHI,SS,25,22,97,7,33,7,0,2,9,3,0,3,21,0,0,0,0.34,0.36,0.474,0.834
Julio Rodriguez,SEA,OF,22,22,94,17,23,5,1,4,12,5,3,8,24,0,0,1,0.245,0.311,0.447,0.758
Bo Bichette,TOR,SS,25,22,94,13,31,5,0,4,12,0,2,4,14,0,0,1,0.33,0.364,0.511,0.875
Nico Hoerner,CHC,SS,25,21,93,20,33,5,0,2,11,9,2,6,7,0,0,1,0.355,0.4,0.473,0.873
Jose Abreu,HOU,1B,36,22,92,6,23,3,0,0,10,0,0,4,23,0,0,1,0.25,0.289,0.283,0.572
George Springer,TOR,OF,33,22,91,12,18,1,0,3,8,3,1,8,20,0,0,0,0.198,0.263,0.308,0.571
Manny Machado,SD,3B,30,23,91,7,20,3,0,1,7,1,0,4,22,0,1,0,0.22,0.25,0.286,0.536
Ronald Acuna,ATL,OF,25,22,91,20,34,8,0,3,11,12,2,12,16,0,0,1,0.374,0.452,0.56,1.012
Luis Robert,CWS,OF,25,21,90,13,21,6,0,5,13,1,0,2,25,0,0,0,0.233,0.25,0.467,0.717
Rafael Devers,BOS,3B,26,22,90,17,23,7,0,8,21,0,0,5,20,0,1,1,0.256,0.299,0.6,0.899
Alex Verdugo,BOS,OF,26,23,90,18,29,4,1,3,11,1,0,9,12,0,0,2,0.322,0.396,0.489,0.885
Pete Alonso,NYM,1B,28,23,90,18,24,1,0,10,23,0,0,11,23,0,0,0,0.267,0.347,0.611,0.958
Freddie Freeman,LAD,1B,33,23,89,18,25,5,0,3,7,1,1,13,19,0,1,0,0.281,0.369,0.438,0.807
Ryan Mountcastle,BAL,1B,26,21,89,13,19,4,0,6,20,2,0,3,23,0,2,0,0.213,0.234,0.461,0.695
Ke'Bryan Hayes,PIT,3B,26,22,88,13,20,6,2,1,7,3,2,7,10,0,1,0,0.227,0.281,0.375,0.656
Jeremy Pena,HOU,SS,25,22,88,15,19,6,0,3,12,6,1,4,25,0,0,4,0.216,0.281,0.386,0.667
Nolan Arenado,STL,3B,32,22,88,10,25,3,0,2,14,1,1,7,20,0,1,0,0.284,0.333,0.386,0.719
J.D. Martinez,LAD,DH,35,23,88,13,22,9,2,4,15,0,0,6,30,0,2,2,0.25,0.306,0.534,0.84
Nick Castellanos,PHI,OF,31,23,88,19,27,10,0,2,13,0,1,10,27,0,0,0,0.307,0.378,0.489,0.867
Christian Yelich,MIL,OF,31,22,88,20,22,3,0,3,10,5,0,11,29,0,0,0,0.25,0.333,0.386,0.719
Xander Bogaerts,SD,SS,30,24,88,17,29,4,0,5,12,1,0,12,10,0,1,2,0.33,0.417,0.545,0.962
Jose Ramirez,CLE,3B,30,22,86,11,23,7,1,3,16,4,1,12,11,0,2,0,0.267,0.35,0.477,0.827
Teoscar Hernandez,SEA,OF,30,22,86,9,21,3,0,5,13,1,1,2,27,0,1,3,0.244,0.283,0.453,0.736
Francisco Lindor,NYM,SS,29,23,86,17,19,9,0,4,18,2,0,11,28,0,1,4,0.221,0.333,0.465,0.798
Ozzie Albies,ATL,2B,26,22,86,9,21,2,0,5,18,0,0,4,16,0,1,1,0.244,0.283,0.442,0.725
